year,agency_key,agency_type,cesa,county,conferencekey,district_number,school_number,school_type,charter,district_name,school_name,total_enrollment_prek-12,econ_disadv_count,econ_disadv_percent,not_econd_disadv_count,not_econ_disadv_percent
2012,12337,3,10,10,125,7,,Summary,N,Abbotsford,,707,436,61.66902404,271,38.33097595
2012,9302,3,5,1,39,14,,Summary,N,Adams-Friendship Area,,1742,1245,71.4695752,497,28.53042479
2012,5927,3,2,23,38,63,,Summary,N,Albany,,379,116,30.60686015,263,69.39313984
2012,11290,3,7,31,33,70,,Summary,N,Algoma,,622,274,44.05144694,348,55.94855305
2012,14408,3,4,6,11,84,,Summary,N,Alma,,268,98,36.56716417,170,63.43283582
2012,14429,3,4,27,11,91,,Summary,N,Alma Center,,651,381,58.52534562,270,41.47465437
2012,17317,3,5,49,155,105,,Summary,N,Almond-Bancroft,,445,224,50.33707865,221,49.66292134
2012,15361,3,10,18,121,112,,Summary,N,Altoona,,1563,613,39.21944977,950,60.78055022
2012,9984,3,11,48,26,119,,Summary,N,Amery,,1669,590,35.35050928,1079,64.64949071
2012,12401,3,9,34,124,140,,Summary,N,Antigo Unified,,2604,1398,53.68663594,1206,46.31336405
2012,17423,3,6,44,16,147,,Summary,N,Appleton Area,,15119,5881,38.89807526,9238,61.10192473
2012,14435,3,4,61,10,154,,Summary,N,Arcadia,,1135,534,47.04845814,601,52.95154185
2012,5957,3,3,33,38,161,,Summary,N,Argyle,,320,124,38.75,196,61.25
2012,1323,3,1,67,8,2450,,Summary,N,Arrowhead UHS,,2253,162,7.19041278,2091,92.80958721
2012,16217,3,12,2,29,170,,Summary,N,Ashland,,2144,1240,57.83582089,904,42.1641791
2012,12000,3,7,5,54,182,,Summary,N,Ashwaubenon,,3192,984,30.82706766,2208,69.17293233
2012,12450,3,9,37,125,196,,Summary,N,Athens,,495,150,30.3030303,345,69.69696969
2012,12472,3,5,71,126,203,,Summary,N,Auburndale,,884,319,36.08597285,565,63.91402714
2012,15393,3,10,18,120,217,,Summary,N,Augusta,,666,367,55.1051051,299,44.89489489
2012,10012,3,11,55,26,231,,Summary,N,Baldwin-Woodville Area,,1635,419,25.62691131,1216,74.37308868
2012,14462,3,4,32,37,245,,Summary,N,Bangor,,595,159,26.72268907,436,73.27731092
2012,9326,3,5,56,114,280,,Summary,N,Baraboo,,3157,1371,43.4273044,1786,56.57269559
2012,5979,3,3,25,38,287,,Summary,N,Barneveld,,453,73,16.11479028,380,83.88520971
2012,16384,3,11,3,18,308,,Summary,N,Barron Area,,1334,779,58.39580209,555,41.6041979
2012,16453,3,12,4,20,315,,Summary,N,Bayfield,,419,258,61.57517899,161,38.424821
2012,9391,3,6,14,45,336,,Summary,N,Beaver Dam Unified,,3663,1610,43.95304395,2053,56.04695604
2012,11045,3,8,38,31,4263,,Summary,N,Beecher-Dunbar-Pembine,,252,174,69.04761904,78,30.95238095
2012,6000,3,2,13,117,350,,Summary,N,Belleville,,961,200,20.81165452,761,79.18834547
2012,6019,3,3,33,38,364,,Summary,N,Belmont Community,,361,94,26.03878116,267,73.96121883
2012,6066,3,2,53,3,413,,Summary,N,Beloit,,6967,5169,74.19262236,1798,25.80737763
2012,6067,3,2,53,159,422,,Summary,N,Beloit Turner,,1461,588,40.24640657,873,59.75359342
2012,8734,3,3,33,38,427,,Summary,N,Benton,,229,87,37.99126637,142,62.00873362
2012,17531,3,6,24,53,434,,Summary,N,Berlin Area,,1689,631,37.35938425,1058,62.64061574
2012,3826,3,2,64,159,6013,,Summary,N,Big Foot UHS,,543,188,34.62246777,355,65.37753222
2012,16473,3,11,65,21,441,,Summary,N,Birchwood,,333,222,66.66666666,111,33.33333333
2012,7436,3,3,33,38,2240,,Summary,N,Black Hawk,,400,174,43.5,226,56.5
2012,14480,3,4,27,10,476,,Summary,N,Black River Falls,,1824,845,46.32675438,979,53.67324561
2012,14509,3,4,61,11,485,,Summary,N,Blair-Taylor,,622,279,44.85530546,343,55.14469453
2012,15412,3,10,9,18,497,,Summary,N,Bloomer,,1173,449,38.27791986,724,61.72208013
2012,10429,3,8,58,156,602,,Summary,N,Bonduel,,887,392,44.19391206,495,55.80608793
2012,8772,3,3,22,131,609,,Summary,N,Boscobel Area,,889,519,58.38020247,370,41.61979752
2012,12495,3,8,58,155,623,,Summary,N,Bowler,,391,218,55.7544757,173,44.24552429
2012,15436,3,11,17,122,637,,Summary,N,Boyceville Community,,762,394,51.70603674,368,48.29396325
2012,3057,3,2,30,41,657,,Summary,N,Brighton #1,,201,57,28.35820895,144,71.64179104
2012,10445,3,7,8,32,658,,Summary,N,Brillion,,958,228,23.79958246,730,76.20041753
2012,2572,3,2,30,41,665,,Summary,N,Bristol #1,,677,137,20.23633677,540,79.76366322
2012,6201,3,2,23,159,700,,Summary,N,Brodhead,,1074,404,37.61638733,670,62.38361266
2012,5422,3,1,40,47,721,,Summary,N,Brown Deer,,1644,647,39.35523114,997,60.64476885
2012,16484,3,10,54,21,735,,Summary,N,Bruce,,506,321,63.43873517,185,36.56126482
2012,2602,3,2,51,41,777,,Summary,N,Burlington Area,,3324,1227,36.9133574,2097,63.08664259
2012,13669,3,12,2,20,840,,Summary,N,Butternut,,201,125,62.18905472,76,37.81094527
2012,15462,3,10,9,121,870,,Summary,N,Cadott Community,,908,397,43.72246696,511,56.27753303
2012,9458,3,5,11,43,882,,Summary,N,Cambria-Friesland,,416,187,44.95192307,229,55.04807692
2012,6236,3,2,13,117,896,,Summary,N,Cambridge,,908,233,25.66079295,675,74.33920704
2012,16508,3,11,3,21,903,,Summary,N,Cameron,,1007,468,46.47467725,539,53.52532274
2012,907,3,6,20,14,910,,Summary,N,Campbellsport,,1446,390,26.97095435,1056,73.02904564
2012,14532,3,4,41,37,980,,Summary,N,Cashton,,589,242,41.08658743,347,58.91341256
2012,8801,3,3,22,38,994,,Summary,N,Cassville,,199,89,44.72361809,110,55.2763819
2012,985,3,7,59,6,1029,,Summary,N,Cedar Grove-Belgium Area,,1171,231,19.72672929,940,80.2732707
2012,937,3,1,45,30,1015,,Summary,N,Cedarburg,,3009,289,9.60451977,2720,90.39548022
2012,3618,3,2,30,41,5054,,Summary,N,Central/Westosha UHS,,1172,289,24.65870307,883,75.34129692
2012,449,3,12,50,125,1071,,Summary,N,Chequamegon,,774,413,53.35917312,361,46.64082687
2012,527,3,11,3,,1080,,Summary,N,Chetek-Weyerhaeuser Area,,1010,511,50.5940594,499,49.40594059
2012,1008,3,7,8,32,1085,,Summary,N,Chilton,,1153,337,29.2281006,816,70.77189939
2012,15526,3,10,9,4,1092,,Summary,N,Chippewa Falls Area Unified,,5027,1693,33.67813805,3334,66.32186194
2012,10047,3,11,48,21,1120,,Summary,N,Clayton,,405,210,51.85185185,195,48.14814814
2012,10058,3,11,48,21,1127,,Summary,N,Clear Lake,,628,259,41.24203821,369,58.75796178
2012,6261,3,2,53,159,1134,,Summary,N,Clinton Community,,1190,361,30.33613445,829,69.66386554
2012,17575,3,8,68,53,1141,,Summary,N,Clintonville,,1412,735,52.05382436,677,47.94617563
2012,14599,3,4,6,11,1155,,Summary,N,Cochrane-Fountain City,,670,226,33.73134328,444,66.26865671
2012,12518,3,10,10,120,1162,,Summary,N,Colby,,935,449,48.02139037,486,51.97860962
2012,10467,3,8,38,25,1169,,Summary,N,Coleman,,760,342,45,418,55
2012,15597,3,11,17,122,1176,,Summary,N,Colfax,,842,350,41.56769596,492,58.43230403
2012,9494,3,5,11,116,1183,,Summary,N,Columbus,,1193,272,22.79966471,921,77.20033528
2012,15615,3,10,9,21,1204,,Summary,N,Cornell,,425,252,59.29411764,173,40.70588235
2012,13694,3,8,21,31,1218,,Summary,N,Crandon,,930,561,60.32258064,369,39.67741935
2012,10489,3,8,38,25,1232,,Summary,N,Crivitz,,734,394,53.67847411,340,46.32152588
2012,8813,3,3,22,131,1246,,Summary,N,Cuba City,,649,225,34.6687211,424,65.33127889
2012,2684,3,1,40,47,1253,,Summary,N,Cudahy,,2642,1228,46.47993943,1414,53.52006056
2012,16538,3,11,3,18,1260,,Summary,N,Cumberland,,1019,528,51.81550539,491,48.1844946
2012,13131,3,9,37,46,4970,,Summary,N,D C Everest Area,,5690,1871,32.88224956,3819,67.11775043
2012,6318,3,3,33,131,1295,,Summary,N,Darlington Community,,786,253,32.18829516,533,67.81170483
2012,6367,3,2,13,114,1316,,Summary,N,De Forest Area,,3465,809,23.34776334,2656,76.65223665
2012,10528,3,7,5,54,1414,,Summary,N,De Pere,,3956,731,18.47826086,3225,81.52173913
2012,14567,3,4,62,35,1421,,Summary,N,De Soto Area,,556,273,49.10071942,283,50.89928057
2012,6344,3,2,13,43,1309,,Summary,N,Deerfield Community,,833,158,18.96758703,675,81.03241296
2012,2730,3,2,64,41,1380,,Summary,N,Delavan-Darien,,2518,1645,65.32962668,873,34.67037331
2012,11346,3,7,5,2,1407,,Summary,N,Denmark,,1509,244,16.16964877,1265,83.83035122
2012,1476,3,6,14,43,2744,,Summary,N,Dodgeland,,818,347,42.42053789,471,57.5794621
2012,6410,3,3,25,42,1428,,Summary,N,Dodgeville,,1299,448,34.48806774,851,65.51193225
2012,3058,3,2,51,41,1449,,Summary,N,Dover #1,,92,31,33.69565217,61,66.30434782
2012,16571,3,12,4,20,1491,,Summary,N,Drummond Area,,393,228,58.01526717,165,41.98473282
2012,15644,3,11,46,26,1499,,Summary,N,Durand,,948,360,37.97468354,588,62.02531645
2012,2795,3,2,64,158,1540,,Summary,N,East Troy Community,,1716,489,28.49650349,1227,71.5034965
2012,15254,3,10,18,4,1554,,Summary,N,Eau Claire Area,,11027,4521,40.99936519,6506,59.0006348
2012,12558,3,9,37,126,1561,,Summary,N,Edgar,,664,200,30.12048192,464,69.87951807
2012,6443,3,2,53,158,1568,,Summary,N,Edgerton,,1786,579,32.41881298,1207,67.58118701
2012,12582,3,9,34,31,1582,,Summary,N,Elcho,,369,202,54.74254742,167,45.25745257
2012,16099,3,10,61,11,1600,,Summary,N,Eleva-Strum,,600,206,34.33333333,394,65.66666666
2012,15685,3,11,17,122,1645,,Summary,N,Elk Mound Area,,1129,330,29.22940655,799,70.77059344
2012,1087,3,7,59,6,1631,,Summary,N,Elkhart Lake-Glenbeulah,,503,132,26.24254473,371,73.75745526
2012,2827,3,2,64,41,1638,,Summary,N,Elkhorn Area,,3246,1085,33.42575477,2161,66.57424522
2012,10092,3,11,47,26,1659,,Summary,N,Ellsworth Community,,1687,448,26.55601659,1239,73.4439834
2012,838,3,1,67,17,714,,Summary,N,Elmbrook,,7154,855,11.95135588,6299,88.04864411
2012,15698,3,11,47,123,1666,,Summary,N,Elmwood,,326,115,35.27607361,211,64.72392638
2012,1193,3,6,66,45,1687,,Summary,N,Erin,,333,27,8.1081081,306,91.89189189
2012,6478,3,2,53,158,1694,,Summary,N,Evansville Community,,1775,481,27.09859154,1294,72.90140845
2012,15738,3,10,18,121,1729,,Summary,N,Fall Creek,,849,244,28.73969375,605,71.26030624
2012,9553,3,5,11,43,1736,,Summary,N,Fall River,,521,185,35.50863723,336,64.49136276
2012,8872,3,3,22,131,1813,,Summary,N,Fennimore Community,,782,359,45.90792838,423,54.09207161
2012,14066,3,10,54,21,5757,,Summary,N,Flambeau,,655,420,64.1221374,235,35.87786259
2012,10594,3,8,19,31,1855,,Summary,N,Florence County,,447,221,49.44071588,226,50.55928411
2012,17641,3,6,20,16,1862,,Summary,N,Fond du Lac,,7448,3207,43.0585392,4241,56.94146079
2012,2892,3,2,64,159,1870,,Summary,N,Fontana J8,,267,77,28.83895131,190,71.16104868
2012,6510,3,2,28,115,1883,,Summary,N,Fort Atkinson,,3000,1114,37.13333333,1886,62.86666666
2012,5147,3,1,40,30,1890,,Summary,N,Fox Point J2,,939,101,10.75612353,838,89.24387646
2012,3024,3,1,40,40,1900,,Summary,N,Franklin Public,,4344,568,13.07550644,3776,86.92449355
2012,16597,3,11,48,21,1939,,Summary,N,Frederic,,457,274,59.95623632,183,40.04376367
2012,10732,3,6,44,53,1953,,Summary,N,Freedom Area,,1637,332,20.28100183,1305,79.71899816
2012,1403,3,6,66,45,4843,,Summary,N,Friess Lake,,278,16,5.75539568,262,94.24460431
2012,14612,3,4,61,10,2009,,Summary,N,Galesville-Ettrick-Trempealeau,,1379,415,30.09427121,964,69.90572878
2012,3333,3,2,64,41,2044,,Summary,N,Geneva J4,,195,1,0.51282051,194,99.48717948
2012,2944,3,2,64,41,2051,,Summary,N,Genoa City J2,,619,238,38.44911147,381,61.55088852
2012,1142,3,1,66,30,2058,,Summary,N,Germantown,,3994,610,15.27290936,3384,84.72709063
2012,11355,3,7,15,33,2114,,Summary,N,Gibraltar Area,,577,130,22.53032928,447,77.46967071
2012,10620,3,8,42,25,2128,,Summary,N,Gillett,,645,341,52.86821705,304,47.13178294
2012,12603,3,10,60,121,2135,,Summary,N,Gilman,,390,238,61.02564102,152,38.97435897
2012,15764,3,10,6,11,2142,,Summary,N,Gilmanton,,168,61,36.3095238,107,63.69047619
2012,4733,3,1,40,30,2184,,Summary,N,Glendale-River Hills,,999,259,25.92592592,740,74.07407407
2012,10123,3,11,55,123,2198,,Summary,N,Glenwood City,,711,225,31.64556962,486,68.35443037
2012,10641,3,8,38,31,2212,,Summary,N,Goodman-Armstrong Creek,,141,81,57.44680851,60,42.55319148
2012,1156,3,1,45,30,2217,,Summary,N,Grafton,,2140,394,18.41121495,1746,81.58878504
2012,12623,3,10,10,120,2226,,Summary,N,Granton Area,,215,141,65.58139534,74,34.41860465
2012,16626,3,11,7,21,2233,,Summary,N,Grantsburg,,1575,393,24.95238095,1182,75.04761904
2012,12004,3,7,5,54,2289,,Summary,N,Green Bay Area Public,,20636,10758,52.13219616,9878,47.86780383
2012,17797,3,6,24,43,2310,,Summary,N,Green Lake,,279,87,31.18279569,192,68.8172043
2012,2966,3,1,40,47,2296,,Summary,N,Greendale,,2655,636,23.95480225,2019,76.04519774
2012,5609,3,1,40,47,2303,,Summary,N,Greenfield,,3813,1500,39.33910306,2313,60.66089693
2012,12643,3,10,10,120,2394,,Summary,N,Greenwood,,342,164,47.95321637,178,52.04678362
2012,313,3,8,58,155,2415,,Summary,N,Gresham,,297,198,66.66666666,99,33.33333333
2012,2300,3,1,67,17,2420,,Summary,N,Hamilton,,4676,657,14.05047048,4019,85.94952951
2012,1195,3,6,66,45,2443,,Summary,N,Hartford J1,,1740,639,36.72413793,1101,63.27586206
2012,1194,3,6,66,45,2436,,Summary,N,Hartford UHS,,1499,352,23.48232154,1147,76.51767845
2012,1324,3,1,67,8,2460,,Summary,N,Hartland-Lakeside J3,,1294,253,19.55177743,1041,80.44822256
2012,16663,3,12,57,18,2478,,Summary,N,Hayward Community,,1952,1122,57.47950819,830,42.5204918
2012,1617,3,6,14,45,2523,,Summary,N,Herman #22,,97,35,36.08247422,62,63.91752577
2012,6564,3,3,25,38,2527,,Summary,N,Highland,,288,66,22.91666666,222,77.08333333
2012,10684,3,7,8,32,2534,,Summary,N,Hilbert,,467,94,20.12847965,373,79.87152034
2012,14661,3,4,62,37,2541,,Summary,N,Hillsboro,,557,272,48.83303411,285,51.16696588
2012,14690,3,4,32,28,2562,,Summary,N,Holmen,,3812,961,25.20986358,2851,74.79013641
